labels,image_quality
Robert Downey Jr,119.52800837016684
Robert Downey Jr,112.40382362566515
Robert Downey Jr,114.31941483663468
Robert Downey Jr,118.15086073186097
Robert Downey Jr,114.29966984408009
Robert Downey Jr,115.90605429791981
Robert Downey Jr,113.4040303431965
Robert Downey Jr,113.91937907794534
Robert Downey Jr,114.29616601281265
Robert Downey Jr,110.57667928630758
Robert Downey Jr,112.77086889491522
Robert Downey Jr,104.80056453649297
Robert Downey Jr,112.83164658969366
Robert Downey Jr,111.57383344280265
Robert Downey Jr,110.12837428843727
Robert Downey Jr,114.82250936206674
Robert Downey Jr,107.45066414670225
Robert Downey Jr,113.347695673668
Robert Downey Jr,105.16199445555776
Robert Downey Jr,98.06236092211236
Robert Downey Jr,117.94476798015319
Robert Downey Jr,111.92958839771165
Robert Downey Jr,113.32504628037128
Robert Downey Jr,110.64358487698405
Robert Downey Jr,115.13218998279899
Robert Downey Jr,106.74383952540336
Robert Downey Jr,110.92027584544314
Robert Downey Jr,107.64171127422173
Robert Downey Jr,114.15903021443671
Robert Downey Jr,115.26387731372313
Robert Downey Jr,116.45851242906423
Robert Downey Jr,115.41177492440818
Robert Downey Jr,114.42628619994781
Robert Downey Jr,105.50779357853185
Robert Downey Jr,117.28772838202678
Scarlett Johansson,113.75006446442973
Scarlett Johansson,113.18294491065899
Scarlett Johansson,108.9726696748869
Scarlett Johansson,104.93243198030552
Scarlett Johansson,105.74894683550144
Scarlett Johansson,116.33627279506379
Scarlett Johansson,114.00347027415535
Scarlett Johansson,115.11062119628457
Scarlett Johansson,116.16888709256318
Scarlett Johansson,115.08732065596575
Scarlett Johansson,115.55579861387258
Scarlett Johansson,115.33387637407384
Scarlett Johansson,112.71089994170859
Scarlett Johansson,114.05344038051203
Scarlett Johansson,110.54888741768474
Scarlett Johansson,113.77277299233509
Scarlett Johansson,108.84071353613172
Scarlett Johansson,116.17371733158234
Scarlett Johansson,116.21362500973396
Scarlett Johansson,115.06668373033403
Scarlett Johansson,117.88495426127628
Scarlett Johansson,103.5905548628748
Scarlett Johansson,114.82808288583288
Scarlett Johansson,108.71938911981454
Scarlett Johansson,102.74754819316195
Scarlett Johansson,115.48961291931806
Scarlett Johansson,115.02443338112658
Scarlett Johansson,112.52390936853533
Scarlett Johansson,112.93745952251396
Scarlett Johansson,112.91794678063138
Scarlett Johansson,108.02680735358706
Scarlett Johansson,110.85367566767638
Scarlett Johansson,115.58998135427623
Scarlett Johansson,113.8540669155546
Scarlett Johansson,118.05617329727102
Scarlett Johansson,114.33475896432594
Scarlett Johansson,115.05204691872052
Scarlett Johansson,110.89332264366124
Scarlett Johansson,108.96596481213749
Scarlett Johansson,101.13133145493885
Scarlett Johansson,107.55368126059784
Scarlett Johansson,110.0856981978718
Scarlett Johansson,115.71194081872352
Scarlett Johansson,119.23524316134467
Scarlett Johansson,115.08102578629655
Scarlett Johansson,116.18514277154958
Scarlett Johansson,112.9327049691891
Scarlett Johansson,106.84374501555192
Scarlett Johansson,115.67777034813514
Scarlett Johansson,105.66152101524813
Scarlett Johansson,115.46795347346978
Scarlett Johansson,108.99627147673027
Scarlett Johansson,90.83349102139607
Scarlett Johansson,115.23955883257406
